Continent,Country,Haplotype,Host_species,Host_type,Sample_type,Haplogroup
Africa,Algeria,H3,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H3,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H3,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H4,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H4,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H4,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H5,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H6,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H6,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H6,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H6,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H7,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H7,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H7,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H7,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H8,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H9,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H9,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Algeria,H9,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Angola,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Angola,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Angola,H2,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
Africa,Cape Verde,H1,Canis_lupus_familiaris,Vertebrate,Blood,
