"accession","version","entryVersion","dataClass","taxonomicDivision","moleculeType","sequenceLength","topology","firstPublic","firstPublicRelease","lastUpdated","lastUpdatedRelease","Row.names","taxID","superkingdom","phylum","class","order","family","genus","species"
"KX761384","1","1","STD","INV","genomic DNA","668","linear","2017-05-12","132","2017-05-12","132","434",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KX588232","1","1","STD","INV","genomic DNA","666","linear","2016-08-02","129","2016-08-02","129","520",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
