"","accession","version","entryVersion","dataClass","taxonomicDivision","moleculeType","sequenceLength","topology","firstPublic","firstPublicRelease","lastUpdated","lastUpdatedRelease","Row.names","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","KX761384","1","1","STD","INV","genomic DNA","668","linear","2017-05-12","132","2017-05-12","132","434",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"2","KX588232","1","1","STD","INV","genomic DNA","666","linear","2016-08-02","129","2016-08-02","129","520",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"3","JF459994","1","1","STD","INV","genomic DNA","663","linear","2011-04-19","108","2011-04-19","108","1025",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"4","KF322145","1","2","STD","INV","genomic DNA","532","linear","2013-11-03","118","2014-07-18","121","926",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"5","KC886731","1","2","STD","INV","genomic DNA","589","linear","2013-05-20","116","2014-07-18","121","933",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"6","KC886733","1","2","STD","INV","genomic DNA","599","linear","2013-05-20","116","2014-07-18","121","931",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"7","KC886729","1","2","STD","INV","genomic DNA","516","linear","2013-05-20","116","2014-07-18","121","935",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"8","KC886730","1","2","STD","INV","genomic DNA","583","linear","2013-05-20","116","2014-07-18","121","934",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"9","KC886732","1","2","STD","INV","genomic DNA","589","linear","2013-05-20","116","2014-07-18","121","932",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"10","KC886721","1","2","STD","INV","genomic DNA","597","linear","2013-05-20","116","2014-07-18","121","943",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"11","KT215368","1","1","STD","INV","genomic DNA","581","linear","2015-12-08","127","2015-12-08","127","654",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"12","KT215369","1","1","STD","INV","genomic DNA","602","linear","2015-12-08","127","2015-12-08","127","653",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"13","KT215354","1","1","STD","INV","genomic DNA","593","linear","2015-12-08","127","2015-12-08","127","668",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"14","KT215355","1","1","STD","INV","genomic DNA","593","linear","2015-12-08","127","2015-12-08","127","667",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"15","KT215356","1","1","STD","INV","genomic DNA","561","linear","2015-12-08","127","2015-12-08","127","666",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"16","KT215358","1","1","STD","INV","genomic DNA","561","linear","2015-12-08","127","2015-12-08","127","664",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"17","KT215360","1","1","STD","INV","genomic DNA","602","linear","2015-12-08","127","2015-12-08","127","662",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"18","KT215359","1","1","STD","INV","genomic DNA","584","linear","2015-12-08","127","2015-12-08","127","663",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"19","KT215363","1","1","STD","INV","genomic DNA","596","linear","2015-12-08","127","2015-12-08","127","659",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"20","KT215364","1","1","STD","INV","genomic DNA","579","linear","2015-12-08","127","2015-12-08","127","658",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"21","KT215367","1","1","STD","INV","genomic DNA","589","linear","2015-12-08","127","2015-12-08","127","655",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"22","KT215353","1","1","STD","INV","genomic DNA","586","linear","2015-12-08","127","2015-12-08","127","669",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"23","KT215357","1","1","STD","INV","genomic DNA","573","linear","2015-12-08","127","2015-12-08","127","665",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"24","KT215361","1","1","STD","INV","genomic DNA","618","linear","2015-12-08","127","2015-12-08","127","661",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"25","KT215362","1","1","STD","INV","genomic DNA","624","linear","2015-12-08","127","2015-12-08","127","660",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"26","KT215365","1","1","STD","INV","genomic DNA","594","linear","2015-12-08","127","2015-12-08","127","657",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"27","KT215366","1","1","STD","INV","genomic DNA","592","linear","2015-12-08","127","2015-12-08","127","656",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"28","KT215370","1","1","STD","INV","genomic DNA","610","linear","2015-12-08","127","2015-12-08","127","652",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"29","KT215371","1","1","STD","INV","genomic DNA","589","linear","2015-12-08","127","2015-12-08","127","651",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"30","GQ176285","1","1","STD","INV","genomic DNA","591","linear","2009-06-28","101","2009-06-28","101","1034",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"31","MG077087","1","4","STD","INV","genomic DNA","639","linear","2018-11-09","138","2018-12-07","139","317",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"32","MG077085","1","3","STD","INV","genomic DNA","667","linear","2018-11-16","138","2018-12-07","139","319",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"33","MG077084","1","2","STD","INV","genomic DNA","621","linear","2018-12-07","139","2018-12-13","139","320",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"34","MG077086","1","4","STD","INV","genomic DNA","621","linear","2018-11-09","138","2018-12-07","139","318",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"35","KY021177","1","1","STD","INV","genomic DNA","666","linear","2017-10-05","134","2017-10-05","134","417",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"36","KY021180","1","1","STD","INV","genomic DNA","575","linear","2017-10-05","134","2017-10-05","134","414",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"37","KY021181","1","1","STD","INV","genomic DNA","614","linear","2017-10-05","134","2017-10-05","134","413",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"38","KY021182","1","1","STD","INV","genomic DNA","532","linear","2017-10-05","134","2017-10-05","134","412",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"39","KY021183","1","1","STD","INV","genomic DNA","612","linear","2017-10-05","134","2017-10-05","134","411",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"40","KY021178","1","1","STD","INV","genomic DNA","666","linear","2017-10-05","134","2017-10-05","134","416",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"41","KY021179","1","1","STD","INV","genomic DNA","604","linear","2017-10-05","134","2017-10-05","134","415",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"42","KY021176","1","1","STD","INV","genomic DNA","596","linear","2017-10-05","134","2017-10-05","134","418",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"43","KY021184","1","1","STD","INV","genomic DNA","606","linear","2017-10-05","134","2017-10-05","134","410",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"44","MN103412","1","1","STD","INV","genomic DNA","664","linear","2019-07-04","141","2019-07-04","141","76",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"45","MG772658","1","1","STD","INV","genomic DNA","515","linear","2018-11-09","138","2018-11-09","138","301",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"46","KF724626","1","1","STD","INV","genomic DNA","624","linear","2017-10-04","134","2017-10-04","134","419",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"47","KP182929","1","1","STD","INV","genomic DNA","600","linear","2015-02-10","123","2015-02-10","123","880",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
